Ranking,Rating,Number of Reviews,Price,City Part,City Ranking 1,City Ranking 2,Cuisine Norm,Days,Dif Days
5570.0,3.5,194.0,1,0.122425,-0.01682843647875817,0.07633317500574993,0.0030208000000000014,120.0,1440.0
1537.0,4.0,10.0,1,0.0205,-0.017946886446886447,0.008841990646382367,-0.012979199999999998,107.0,965.0
353.0,4.5,688.0,2,0.143925,0.13512347116052814,0.12935997803188706,0.035020800000000005,308.0,627.0
3458.0,5.0,3.0,1,0.053875,-0.03259012302692665,0.01978771706387615,-0.012979199999999998,1575.0,1387.0
621.0,4.0,84.0,1,0.022325,0.006807623318385651,0.017446738523374437,0.0030208000000000014,259.0,556.0
1419.0,3.0,2.0,1,0.012825,-0.02269423828125,0.0028347014259156324,-0.012979199999999998,278.0,301.0
1722.0,4.0,50.0,0,0.053325,0.010279819418386491,0.03799628025516966,-0.004979199999999999,216.0,712.0
826.0,3.0,9.0,1,0.007525,-0.01316875,0.0015008932740792527,-0.012979199999999998,2309.0,324.0
2692.0,4.0,0.0,1,0.02915,-0.038182746781115884,0.007972733508131791,-0.012979199999999998,1023.0,504.0876149434008
4210.0,4.0,55.0,0,0.05195,-0.05332566201251806,0.04510540008098927,0.0030208000000000014,110.0,239.0
6579.0,3.0,6.0,1,0.06835,-0.09616017197219172,0.0157772741025151,-0.012979199999999998,135.0,433.0
5321.0,4.0,42.0,1,0.143925,0.010901893676164003,0.0901518533987094,0.0030208000000000014,147.0,191.0
4073.0,3.5,286.0,1,0.143925,0.04210731410701876,0.10000123736453181,0.0110208,131.0,1071.0
4639.0,4.5,10.0,1,0.053875,-0.062128830083565456,0.010466100050538402,-0.004979199999999999,1054.0,56.0
4776.0,4.0,7.0,1,0.0777,-0.04171342130672675,0.041230171819227446,0.0030208000000000014,127.0,175.0
1405.0,4.0,28.0,1,0.016825,-0.01832723214285714,0.005124184181533502,-0.012979199999999998,137.0,356.0
5259.0,4.0,3.0,1,0.053875,-0.07763602599814298,0.005572448443197671,0.0110208,1158.0,504.0876149434008
11131.0,4.5,7.0,1,0.143925,-0.13437334086170952,0.04429855144243683,-0.004979199999999999,1201.0,214.0
3129.0,4.0,12.0,1,0.053875,-0.02436130454967502,0.022384509610352116,-0.012979199999999998,580.0,510.0
2792.0,3.0,12.0,1,0.0265,-0.043340887629839474,-0.0035290784088726213,-0.012979199999999998,409.0,976.0
370.0,5.0,27.0,1,0.022325,0.013089658071748878,0.019428245930327825,-0.004979199999999999,575.7305018056379,504.0876149434008
5847.0,4.0,0.0,1,0.0777,-0.06849703894431929,0.03277735520008644,-0.012979199999999998,1553.0,504.0876149434008
13026.0,3.5,52.0,1,0.143925,-0.1817565714037526,0.029342956398179246,0.0030208000000000014,116.0,120.0
73.0,4.0,371.0,1,0.01345,0.011646648044692738,0.01239745691968909,0.0190208,94.0,1398.0
14984.0,3.0,18.0,0,0.143925,-0.23071507557331478,0.01389015687487775,-0.004979199999999999,948.0,94.0
1077.0,5.0,2.0,0,0.018175,-0.008762052341597796,0.01259980827511302,0.0110208,1161.0,51.0
2765.0,5.0,11.0,1,0.0777,0.00857775989700676,0.05710189378103188,-0.012979199999999998,1439.0,504.0876149434008
2109.0,3.5,2.0,1,0.0204,-0.03236466257668712,0.00458676146226081,-0.012979199999999998,575.7305018056379,504.0876149434008
10059.0,4.5,4.0,1,0.122425,-0.129076358251634,0.040905174323283895,-0.012979199999999998,3220.0,504.0876149434008
